trade_id,direction,armed_time,entry_time,entry_price,stop_price,target_price,risk,swept_level_price,swept_level_source,sweep_extreme,fvg_top,fvg_bottom,midnight_open,bias,result,exit_time,exit_price,r_gained,pnl,points_gained
20201015-16237f,SHORT,2020-10-15 08:10,2020-10-15 08:30,11795.8,11821.4,11727.01,25.6,11786.4,PREV_WEEK,11841.1,11809.48,11797.8,11885.79,BEARISH,LOSS,2020-10-15 09:30,11823.4,-1.078,-1078.14,-27.6
20201020-c1f1ea,SHORT,2020-10-20 08:00,2020-10-20 10:05,11723.57,11749.02,11655.21,25.45,11757.41,ASIAN,11760.7,11730.52,11706.86,11726.86,BEARISH,WIN,2020-10-20 10:45,11655.21,2.686,2685.67,68.35
20201027-2d3e20,SHORT,2020-10-27 08:25,2020-10-27 09:30,11563.36,11588.49,11495.97,25.13,11544.51,ASIAN,11574.99,11567.07,11558.2,11507.16,BEARISH,LOSS,2020-10-27 09:45,11590.49,-1.08,-1079.58,-27.13
20201029-781113,SHORT,2020-10-29 07:30,2020-10-29 09:30,11239.85,11264.33,11174.4,24.48,11256.4,ASIAN,11271.5,11243.11,11239.81,11255.4,BEARISH,LOSS,2020-10-29 09:55,11266.33,-1.082,-1081.69,-26.48
20201102-25d86f,SHORT,2020-11-02 07:30,2020-11-02 09:35,11178.66,11203.02,11113.58,24.36,11089.05,PREV_DAY,11196.31,11184.4,11172.11,11066.57,BEARISH,LOSS,2020-11-02 09:50,11205.02,-1.082,-1082.1,-26.36
20201103-a98c9a,SHORT,2020-11-03 07:30,2020-11-03 08:30,11163.21,11187.54,11098.22,24.33,11137.82,ASIAN,11180.15,11177.23,11165.21,11082.08,BEARISH,LOSS,2020-11-03 09:50,11189.54,-1.082,-1082.2,-26.33
20201106-c464cc,LONG,2020-11-06 07:30,2020-11-06 09:35,11940.24,11914.36,12009.87,25.88,11910.36,PREV_DAY,11884.35,11938.24,11938.11,11930.41,BULLISH,LOSS,2020-11-06 09:50,11912.36,-1.077,-1077.29,-27.88
20201109-e92e98,LONG,2020-11-09 08:30,2020-11-09 08:55,12161.92,12135.6,12232.88,26.32,12125.6,PREV_DAY,12110.55,12195.69,12150.79,12397.6,BULLISH,LOSS,2020-11-09 09:30,12133.6,-1.076,-1075.99,-28.32
20201111-8e2d0f,SHORT,2020-11-11 08:30,2020-11-11 09:35,11769.69,11795.23,11701.06,25.54,11704.96,ASIAN,11778.27,11774.68,11771.69,11671.77,BEARISH,LOSS,2020-11-11 09:40,11797.23,-1.078,-1078.3,-27.54
20201113-1d9ef8,SHORT,2020-11-13 07:45,2020-11-13 08:30,11907.03,11932.85,11837.58,25.82,11873.6,ASIAN,11924.79,11909.97,11903.2,11866.98,BEARISH,WIN,2020-11-13 10:15,11837.58,2.69,2690.14,69.45
20201116-96d854,LONG,2020-11-16 09:00,2020-11-16 09:30,11898.73,11872.94,11968.11,25.79,11964.5,PREV_DAY,11886.81,11896.73,11896.46,12049.0,BULLISH,WIN,2020-11-16 09:40,11968.11,2.69,2689.84,69.38
20201117-3fd472,LONG,2020-11-17 07:30,2020-11-17 08:30,12033.65,12007.59,12103.84,26.06,12008.11,ASIAN,12001.02,12036.31,12028.86,12012.59,BULLISH,LOSS,2020-11-17 09:35,12005.59,-1.077,-1076.74,-28.06
20201120-4b27fa,SHORT,2020-11-20 09:00,2020-11-20 10:35,11998.12,12024.12,11928.12,26.0,12013.41,PREV_DAY,12018.9,12000.42,12000.12,12004.48,BEARISH,WIN,2020-11-20 15:50,11928.12,2.692,2692.31,70.0
20201125-074353,LONG,2020-11-25 07:30,2020-11-25 08:30,12115.51,12089.28,12186.19,26.23,12128.02,ASIAN,12110.91,12113.51,12113.25,12130.79,BULLISH,LOSS,2020-11-25 10:05,12087.28,-1.076,-1076.26,-28.23
20201126-968192,LONG,2020-11-26 07:55,2020-11-26 10:15,12189.66,12163.29,12260.79,26.38,12176.3,ASIAN,12172.34,12191.52,12187.5,12192.82,BULLISH,LOSS,2020-11-26 12:20,12161.29,-1.076,-1075.83,-28.38
20201130-fbe4f1,LONG,2020-11-30 07:30,2020-11-30 08:30,12271.9,12245.36,12343.52,26.54,12239.53,PREV_DAY,12234.89,12283.5,12268.1,12247.66,BULLISH,LOSS,2020-11-30 09:40,12243.36,-1.075,-1075.36,-28.54
